,ead_id,resource_id,titleproper,Term,Matched_Times,Matched_From,Matched_Paragraph
11,umich-bhl-2011107,4118,the Grant Kohn Goodman research files,Slavery,1,scopecontent,"Researchers should note that this collection documents research conducted by Goodman regarding a variety of subjects relevant to Southern, Eastern, and Southeastern Asia. Specifically, part of Goodman’s research focused on the system of sexual slavery perpetuated by the Japanese military between 1932 and 1945. Language in the collection materials may use euphemistic terms for victims of this practice (such as the term ""comfort women"", coined by Japanese military) and reflects the language in use during Goodman's lifetime."
12,umich-bhl-2011107,4118,the Grant Kohn Goodman research files,Death,1,bioghist,"Goodman worked as a professor of Japanese history at the University of Kansas (KU) for thirty years, retiring in 1989, though he continued working with KU in various capacities until his death in 2014. He traveled and taught in several countries, including the Philippines, Hong Kong, Japan, Australia, England, Ireland, Poland and Germany. Goodman spent time in the late 1980s and early 1990s at the International Research Center for Japanese Studies in Kyoto, Japan. During his career, Goodman authored the autobiographical <title>Amerika no Nippon gannen</title> (translated as <title>America’s Japan: the first year, 1945–6</title>), published by Fordham University Press in 2005. He authored an additional six books and two memoirs."
13,umich-bhl-2011132,2273,"Richard Schneidewind papers, 1899-1914",Igorot,2,abstract,"Richard Schneidewind’s collection of photographs, stereographs, newspaper articles and advertising materials about the Igorot peoples of the Philippines, and ""Igorot Villages"" traveling exhibits in the U.S., Canada and Europe that his company, the Filipino Exhibition Company, organized and managed between 1905 and 1913; also photographs of locations in the Philippines and Hawaii taken ca. 1899."
14,umich-bhl-2011132,2273,"Richard Schneidewind papers, 1899-1914",Igorot,1,scopecontent,"Photo albums and photographs dating from Richard Schneidewind's military service in Hawaii and the Philippines during the Philippine-American War. Images depict locations, street scenes, military camps and hospitals in the Philippines and Hawaii, and group photographs of military units. Also photographs and stereographs depicting Schneidewind's ""Igorot villages"": group photographs and individual portraits, scenes, dances, etc.; newspaper clippings documenting the tours, programs, advertising materials, and business contracts signed by Schneidewind and the Igorots."
15,umich-bhl-2011132,2273,"Richard Schneidewind papers, 1899-1914",Igorot,4,scopecontent," Paper records include admission tickets and passes to Igorot Village exhibits at state fairs and expositions; advertising flyers and brochures for the Igorot Village exhibits; Schneidewind's contracts with Igorots Felingao and Ugaog [Ugaag?] (1905); newspaper clippings and articles reporting about Igorot Village exhibits in various locations; photographs and stereographs, with mostly staged images, of Igorot Village exhibits, as well as miscellaneous photographs, including Schneidewind's portraits; among miscellaneous items are Schneidewind's business card and 2 letters (one in French)."
16,umich-bhl-2011132,2273,"Richard Schneidewind papers, 1899-1914",Igorot,1,scopecontent," The Photo album contains mostly photographs of Hospital Corps officers, personnel, nurses and patients, as well as military ships, hospitals, historic buildings and street scenes in Manila, Makati, Caloocan, Corregidor Island, Honolulu, and other locations. Also includes undated photographs of scenes from the Igorot Village exhibits."
17,umich-bhl-2011132,2273,"Richard Schneidewind papers, 1899-1914",Igorot,1,scopecontent," The two Oversize folders contains loose materials found in the European tour scrapbook: an undated photograph of Igorot Village exhibit; undated group photograph containing portrait of Schneidewind's son Richard (his last name spelled Schneidowin); and 3 newspaper articles (1910, 1912 and undated)"
18,umich-bhl-2011132,2273,"Richard Schneidewind papers, 1899-1914",Igorot,2,bioghist," After Gabina's death Schneidewind returned to the U.S. In 1904 he worked at the St. Louis World's Fair where, among similar exhibits, he saw the ""Igorot Village"" exhibit that included 123 Igorots brought by the Dr. Truman K. Hunt's Igorot Exhibit Company."
19,umich-bhl-2011132,2273,"Richard Schneidewind papers, 1899-1914",Igorot,1,bioghist, By 1905 Schneidewind with his partner Edmund A. Felder formed the Filipino Exhibition Company. Schneidewind met Felder in 1904 when Felder was the Executive Officer of the Philippine Exposition Board at the St. Louis World's Fair. In 1905 they arranged a group of Igorot men and women from the Luzon mountain interior to be brought for a tour.
20,umich-bhl-2011132,2273,"Richard Schneidewind papers, 1899-1914",Igorot,1,bioghist," In 1906 Schneidewind married Selma Echholz. In 1907 he brought to the U.S. 40 Igorot people; 40 people in 1908; and in 1911 his company brought 55 people on a tour of Europe (France, England, and Belgium). Some people went on more than one journey."
21,umich-bhl-2011132,2273,"Richard Schneidewind papers, 1899-1914",Igorot,1,subjects,"Agricultural exhibitions.; Amusement parks.; Boats.; Caricatures and cartoons.; Circuses & shows.; Convalescent hospitals; Ethnic stereotypes.; Ethnographic photographs.; Executions; Exhibitions.; Fairs.; Human curiosities.; Igorot (Philippine people); Leprosy; Midways.; Military hospitals, American; Military hospitals; Ships.; Sideshows.; Soldiers."
22,umich-bhl-2011132,2273,"Richard Schneidewind papers, 1899-1914",Igorots,1,scopecontent,"Photo albums and photographs dating from Richard Schneidewind's military service in Hawaii and the Philippines during the Philippine-American War. Images depict locations, street scenes, military camps and hospitals in the Philippines and Hawaii, and group photographs of military units. Also photographs and stereographs depicting Schneidewind's ""Igorot villages"": group photographs and individual portraits, scenes, dances, etc.; newspaper clippings documenting the tours, programs, advertising materials, and business contracts signed by Schneidewind and the Igorots."
23,umich-bhl-2011132,2273,"Richard Schneidewind papers, 1899-1914",Igorots,1,scopecontent," Paper records include admission tickets and passes to Igorot Village exhibits at state fairs and expositions; advertising flyers and brochures for the Igorot Village exhibits; Schneidewind's contracts with Igorots Felingao and Ugaog [Ugaag?] (1905); newspaper clippings and articles reporting about Igorot Village exhibits in various locations; photographs and stereographs, with mostly staged images, of Igorot Village exhibits, as well as miscellaneous photographs, including Schneidewind's portraits; among miscellaneous items are Schneidewind's business card and 2 letters (one in French)."
24,umich-bhl-2011132,2273,"Richard Schneidewind papers, 1899-1914",Igorots,1,bioghist," After Gabina's death Schneidewind returned to the U.S. In 1904 he worked at the St. Louis World's Fair where, among similar exhibits, he saw the ""Igorot Village"" exhibit that included 123 Igorots brought by the Dr. Truman K. Hunt's Igorot Exhibit Company."
25,umich-bhl-2011132,2273,"Richard Schneidewind papers, 1899-1914",Igorots,2,bioghist," Toward the end of the 1911 European tour the Schneidewind's company experienced serious financial problems. In winter 1913 American newspapers reported about starving Igorots wandering the streets of Ghent, Belgium. The U.S. government intervened, and in December 1913 the newspapers reported that all of the Igorots were sent back to the Philippines. In 1914 U.S. government put an end to exhibitions of Filipinos."
26,umich-bhl-2011132,2273,"Richard Schneidewind papers, 1899-1914",Native,1,bioghist,"Richard Schneidewind was a native and resident of Detroit, Mich. and veteran of the Spanish-American War (1898). Schneidewind joined the U.S. Army in 1898 as a nurse in the Field Hospital Corps. In the Philippines he was made the head nurse and treated men ill with typhoid and spinal meningitis. After contracting typhoid and not completely recovered, he was sent to Corregidor Island where his unit was building a convalescent hospital. Still a patient, Schneidewind was given light duties. He remained on the sick list until his discharge from the service in July 1899."
27,umich-bhl-2011132,2273,"Richard Schneidewind papers, 1899-1914",Death,1,bioghist," After Gabina's death Schneidewind returned to the U.S. In 1904 he worked at the St. Louis World's Fair where, among similar exhibits, he saw the ""Igorot Village"" exhibit that included 123 Igorots brought by the Dr. Truman K. Hunt's Igorot Exhibit Company."
28,umich-bhl-2011132,2273,"Richard Schneidewind papers, 1899-1914",Executions,1,subjects,"Agricultural exhibitions.; Amusement parks.; Boats.; Caricatures and cartoons.; Circuses & shows.; Convalescent hospitals; Ethnic stereotypes.; Ethnographic photographs.; Executions; Exhibitions.; Fairs.; Human curiosities.; Igorot (Philippine people); Leprosy; Midways.; Military hospitals, American; Military hospitals; Ships.; Sideshows.; Soldiers."
29,umich-bhl-2011165,1146,"Joseph Ralston Hayden Papers, 1899-1945 [microfilm]",Moros,1,scopecontent," Over the years, researchers, unable to examine the originals, have requested microfilm copies of portions of the Hayden papers. This finding aid lists those files that have been microfilmed and which are available for inter-library loan. The bulk of these files date from the 1920s and relate in great part to the Philippine politics and to the affairs of the provinces. Many of the files relate to the Moros and to Mindanao and Sulu. The finding aid to the original collection is also available through the library's homepage."
30,umich-bhl-2011165,1146,"Joseph Ralston Hayden Papers, 1899-1945 [microfilm]",Philippine Islands,1,scopecontent,"As vice governor of the Philippine Islands during the 1930s, and later as advisor on Philippine affairs to General Douglas MacArthur during World War II, Joseph R. Hayden was recipient of much substantive documentation relating to the American phase of Philippine Island history. Hayden was an astute and discerning scholar of Philippine life and history, and as such used the opportunity of his frequent trips to the Far East to collect materials (official and personal) that he knew would be of value in his teaching and research, and that he also hoped would prove useful to scholars following after him. The Philippine Collection is the heart of the collection comprising more than 75% of the Hayden papers. These files are testimony to Hayden's foresight in drawing together official documents (because of the positions he held) and other records (sent to him because of his known interest in the Philippines). These collected materials include official reports, minutes of meetings attended, memoranda with government officials, photographs, clippings, and published materials."
31,umich-bhl-2011165,1146,"Joseph Ralston Hayden Papers, 1899-1945 [microfilm]",Philippine Islands,2,bioghist," Hayden was a recognized authority on the Philippine Islands. In this, Hayden was carrying on a tradition begun by Dean C. Worcester, who, like Hayden, was both on the faculty of the University of Michigan and called to public service in the Philippine Islands because of his expertise and experience. In 1922-23, Hayden was an exchange professor at the University of the Philippines; in 1930-31, he was the Carnegie Visiting Professor in the State University of the Philippines. In 1922-23, 1926, and 1930-31, Hayden was special correspondent in the Far East for the <title render=""italic"">Christian Science Monitor</title>. Hayden used each of these opportunities to travel in the islands, to study, and to make contacts with Philippine citizens, both government officials and private citizens."
32,umich-bhl-2011165,1146,"Joseph Ralston Hayden Papers, 1899-1945 [microfilm]",Death,1,bioghist,"Joseph Ralston Hayden was born on September 24, 1887 in Quincy, Illinois. He received his B.S. from Knox College in 1910, then his M.A. and Ph.D. from the University of Michigan in 1911 and 1915 respectively. From 1910 to 1912, while a student, Hayden was an assistant in American history at the University of Michigan. In 1912, he became a member of the university's department of political science, where he remained, except for his service with the government, until his death on May 19, 1945."
33,umich-bhl-2012140,413,"Department of Afroamerican and African Studies (University of Michigan) records, 1966-2010 (bulk 1970-1994)",Native,2,bioghist," The Students of Color Coalition (SCC), another campus-based group, formed to protest the mocking use of Native American names, images and regalia by a semi-secret student honor society called Michigamua. In early 2000, SCC members occupied the Michigamua offices in the tower of the Michigan Union for thirty-seven days. As a result of the controversy, Michigamua agreed to stop using Native American practices, and in 2006 adopted a new name, ""The Order of Angell."""
34,umich-bhl-2012140,413,"Department of Afroamerican and African Studies (University of Michigan) records, 1966-2010 (bulk 1970-1994)",Race,1,bioghist," UCAR also founded the Ella Baker-Nelson Mandela Center for Anti-Racist Education, or the Baker-Mandela Center (BMC) during the summer of 1988. Its purpose was to collect and generate literature, provide a speakers bureau, and to serve as a gathering place for anti-racist activists. The overall objectives were to promote anti-racist consciousness and to promote anti-racist student leaders, particularly within Third World communities; to heighten the level of discussion and research on various aspects of race, class and gender issues and to provide concrete tools to anti-racist organizers to help refute stereotypes and myths, and challenge apathy or cynicism. It was housed in the East Engineering Building. Barbara Ransby and Tracye Matthews were important leaders in the organization of the center."
35,umich-bhl-2012143,1877,"Netzorg Family Papers, late 1880s-2012",Insurgency,1,abstract,"Papers of Morton Isadore and Katherine Smit Netzorg; their son Morton Jacob Netzorg and his wife Petra Fuld Netzorg; Petra Netzorg's mother Charlotte Fuld, and Petra's younger sister Bracha Fuld. The collection chronicles the history of the Philippine Islands in the 20th century, specifically during the Second World War; life of German Jewry on the eve of World War II; Zionist Insurgency in the British Mandate Palestine; developments in the scholarly field of South East Asian Studies and international publishing and book trade industries related to the region. The collection is a rich source of bibliographic material related to the Pacific Islands, primarily the Philippines, as well as the entire South East Asian region."
36,umich-bhl-2012143,1877,"Netzorg Family Papers, late 1880s-2012",Native,1,bioghist,"<persname normal=""Netzorg, Morton I."">Morton I. Netzorg</persname> and <persname normal=""Netzorg, Katherine S."">Katherine S. Netzorg</persname> were both born in 1884. Morton was a Michigan native and a University of Michigan graduate (Literature, 1910). They came to the Philippines in 1911 to teach in the Philippine public schools as part of the Tomasites teacher corps. They had three children: Morton Jacob (born in 1912), called by most ""Jock"", David Leon, and Leah. Morton and Katherine soon became prominent and active members of the <geogname normal=""Manila (Philippines)"">Manila</geogname> Jewish community, public figures, and business owners. In the 1930s Morton I. worked on bringing European Jewish refugees to the Philippines as the Jewish Refugee Committee secretary. After the Japanese forces occupied Manila on January 2, 1942 Morton I. and Katherine were imprisoned in the <corpname normal=""Santo Tomas Internment Camp (Manila, Philippines)"">Santo Tomas</corpname> internment camp. They were liberated by the American forces in early February 1945. In April 1945 Morton became Regional Director of the Manila branch of the National Jewish Welfare Board and worked to organize community services and activities, and services for Jewish military personnel in the Philippines. In spring 1946 Morton I. Netzorg returned to the United States and died very suddenly shortly after his arrival. Katherine, who also returned, died in 1949. David L. Netzorg died of malaria in Japanese POW camp in 1942. Leah (married name Stine) resided in the United States."
37,umich-bhl-2012143,1877,"Netzorg Family Papers, late 1880s-2012",Philippine Islands,1,abstract,"Papers of Morton Isadore and Katherine Smit Netzorg; their son Morton Jacob Netzorg and his wife Petra Fuld Netzorg; Petra Netzorg's mother Charlotte Fuld, and Petra's younger sister Bracha Fuld. The collection chronicles the history of the Philippine Islands in the 20th century, specifically during the Second World War; life of German Jewry on the eve of World War II; Zionist Insurgency in the British Mandate Palestine; developments in the scholarly field of South East Asian Studies and international publishing and book trade industries related to the region. The collection is a rich source of bibliographic material related to the Pacific Islands, primarily the Philippines, as well as the entire South East Asian region."
38,umich-bhl-2012143,1877,"Netzorg Family Papers, late 1880s-2012",Death,1,scopecontent,"Family and business correspondence, including internment camp communications of Morton I. and Katherine; journals and diaries; published works and manuscripts of Morton J.; material related to Bracha Fuld's death; photographs; the Cellar Book Shop card catalog; also World War II-period artifacts, and Bracha's military ribbon."
39,umich-bhl-2014031,860,"Ethnic and Cultural Communities of Michigan Web Archive, 2010-2014",Native,2,scopecontent," Web Archives include websites of African American, Arab American, Native American, Asian American and other ethnic communities and organizations who call the state of Michigan home. The collection is especially strong in documenting African American, Arab American, and Native American communities, business, religious, cultural and civil rights organizations, as well as distinguished individuals who belong to these communities."
40,umich-bhl-2014031,860,"Ethnic and Cultural Communities of Michigan Web Archive, 2010-2014",Race,1,subjects,"African American churches; African American churches; African American Episcopalians; African American judges; African American men; African American Muslims; African American public worship; African American women; African American women lawyers; African American youth; African Americans; African Americans; African Americans; African Americans; African Americans; Arab American business enterprises; Arab Americans; Arab Americans; Arab Americans; Arab Americans; Arab Americans; Arab Americans; Arab Americans; Arab Americans; Arab Americans; Arab Americans; Asian Americans; Baptists; Boards of trade; Businesspeople; Chaldean Catholics; Charities; Chinese Americans; Chinese Americans; Chippewa Indians.; Chippewa Tribe.; Christianity and other religions; Commerce and industry.; Communities; Community centers; Druze women; Druzes; East Indian Americans; East Indian Americans; Education; Environmental justice; Ethnic communities.; Ethnic relations; Filipino Americans; Fisheries; Fishery law and legislation; Fishery management; Fishery management; German Americans; German Americans; Germans; Germans; Hispanic Americans; Hispanic Americans; Housing policy; Hurley, George W. African-American churches; Immigrants; Immigrants; Immigrants; Immigrants; Immigrants; Immigrants; Indians of North America; Indians of North America; Indians of North America; Iraqis; Islam; Islamic education; Islamophobia; Islamophobia; Italian Americans; Lebanese Americans; Lebanese Americans; Lebanese Americans; Minorities; Minorities; Minorities; Monasteries; Mosques; Mosques as community centers; Muslims; Muslims; Muslims; Muslims; Muslims; Muslims; Ojibwa Indians; Ojibwa Indians; Ojibwa Indians; Ojibwa Indians; Orientalism; Orthodox Eastern monasteries; Ottawa Indians; Ottawa Indians; Ottawa Indians; Pacific Islander Americans; Palestinian Americans; Polish Americans; Politics and public policy.; Popular music; Potawatomi Indians; Potawatomi Indians; Race relations; Racism; Religion.; Russian Americans; Russian Americans; Russkaia pravoslavnaia tserkov' zagranitsei­; Sermons, American.; Social justice.; Stereotypes (Social psychology); Taiwanese Americans; Taiwanese Americans; Transportation and state; Women; Women in Michigan.; Yemeni Americans; Yemeni Americans; Youth"
41,umich-bhl-2014031,860,"Ethnic and Cultural Communities of Michigan Web Archive, 2010-2014",Tribe,1,subjects,"African American churches; African American churches; African American Episcopalians; African American judges; African American men; African American Muslims; African American public worship; African American women; African American women lawyers; African American youth; African Americans; African Americans; African Americans; African Americans; African Americans; Arab American business enterprises; Arab Americans; Arab Americans; Arab Americans; Arab Americans; Arab Americans; Arab Americans; Arab Americans; Arab Americans; Arab Americans; Arab Americans; Asian Americans; Baptists; Boards of trade; Businesspeople; Chaldean Catholics; Charities; Chinese Americans; Chinese Americans; Chippewa Indians.; Chippewa Tribe.; Christianity and other religions; Commerce and industry.; Communities; Community centers; Druze women; Druzes; East Indian Americans; East Indian Americans; Education; Environmental justice; Ethnic communities.; Ethnic relations; Filipino Americans; Fisheries; Fishery law and legislation; Fishery management; Fishery management; German Americans; German Americans; Germans; Germans; Hispanic Americans; Hispanic Americans; Housing policy; Hurley, George W. African-American churches; Immigrants; Immigrants; Immigrants; Immigrants; Immigrants; Immigrants; Indians of North America; Indians of North America; Indians of North America; Iraqis; Islam; Islamic education; Islamophobia; Islamophobia; Italian Americans; Lebanese Americans; Lebanese Americans; Lebanese Americans; Minorities; Minorities; Minorities; Monasteries; Mosques; Mosques as community centers; Muslims; Muslims; Muslims; Muslims; Muslims; Muslims; Ojibwa Indians; Ojibwa Indians; Ojibwa Indians; Ojibwa Indians; Orientalism; Orthodox Eastern monasteries; Ottawa Indians; Ottawa Indians; Ottawa Indians; Pacific Islander Americans; Palestinian Americans; Polish Americans; Politics and public policy.; Popular music; Potawatomi Indians; Potawatomi Indians; Race relations; Racism; Religion.; Russian Americans; Russian Americans; Russkaia pravoslavnaia tserkov' zagranitsei­; Sermons, American.; Social justice.; Stereotypes (Social psychology); Taiwanese Americans; Taiwanese Americans; Transportation and state; Women; Women in Michigan.; Yemeni Americans; Yemeni Americans; Youth"
42,umich-bhl-2014031,860,"Ethnic and Cultural Communities of Michigan Web Archive, 2010-2014",Tribe,3,geognames,"Ann Arbor (Mich.); Battle Creek (Mich.); Bay Mills Indian Community, Michigan.; Bay Mills (Mich.); Chippewa Tribe.; Dearborn (Mich.); Detroit (Mich.); Detroit (Mich.); Detroit (Mich.); Flint (Mich.); Florida.; Fulton (Mich.); Grand Rapids (Mich.); Grand Traverse Band of Ottawa and Chippewa Indians, Michigan.; Grand Traverse (Mich.); Great Lakes (North America); Harbor Springs (Mich.); Harper Woods (Mich.); India.; Israel.; Jackson (Mich.); Kalamazoo (Mich.); Keweenaw Bay (Mich. : Bay); Lansing (Mich.); Livonia (Mich.); Manistee (Mich.); Michigan. District Court (36th district); Middle West.; Mount Pleasant (Mich.); Muskegon (Mich.); Oakland County (Mich.); Ohio.; Palestine.; Pokagon Band of Potawatomi Indians, Michigan and Indiana.; Rām Allāh.; Ramlah (Israel); Saginaw Chippewa Indian Tribe of Michigan.; Saginaw (Mich.); Sault Sainte Marie (Mich.); Sault Ste. Marie Tribe of Chippewa Indians of Michigan.; Southfield (Mich.); Texas.; Troy (Mich.); Wyoming (Mich.)"
43,umich-bhl-2014136,1170,"University Herbarium (University of Michigan) Records, 1744-1745, 1851-1981, and 2001-2014",Types,1,bioghist," The Herbarium's later research projects began with Professor Edward Voss' Michigan Flora Project, which started in 1956 and lasted for more than 40 years. The Michigan Flora Project led to the publication of the three volume <title render=""italic"">Michigan Flora</title> series and the Herbarium's current <title render=""italic"">Michigan Flora</title> database. In addition to the Michigan Flora Project, the U-M Herbarium contributed to several projects, including the International Code of Botanical Nomenclature, Flora Novo Galiciana, Flora of North America, Mosses of Mexico, Mosses of the Great Lakes Forests, Flora of China, and Flora of the Venezuelan Guyana. In 1974, the Herbarium was designated by the American Society of Plant Taxonomists as one of the 25 National Resource Center Collections in the United States and was ranked as one of the top three herbaria in the country. The U-M Herbarium is also a leader in digitizing herbaria collections, beginning with a 1977 database of seed plant types (Reznicek). The U-M Herbarium currently houses one of the best botanical collections in the world, housing over 1.7 million specimens, including renowned collections of vascular plants, algae, bryophytes, fungi, and lichens."
44,umich-bhl-2014136,1170,"University Herbarium (University of Michigan) Records, 1744-1745, 1851-1981, and 2001-2014",Types,1,bioghist," The Herbarium's later research projects began with Professor Edward Voss' Michigan Flora Project, which started in 1956 and lasted for more than 40 years. The Michigan Flora Project led to the publication of the three volume <title render=""italic"">Michigan Flora</title> series and the Herbarium's current <title render=""italic"">Michigan Flora</title> database. In addition to the Michigan Flora Project, the U-M Herbarium contributed to several projects, including the International Code of Botanical Nomenclature, Flora Novo Galiciana, Flora of North America, Mosses of Mexico, Mosses of the Great Lakes Forests, Flora of China, and Flora of the Venezuelan Guyana. In 1974, the Herbarium was designated by the American Society of Plant Taxonomists as one of the 25 National Resource Center Collections in the United States and was ranked as one of the top three herbaria in the country. The U-M Herbarium is also a leader in digitizing herbaria collections, beginning with a 1977 database of seed plant types (Reznicek). The U-M Herbarium currently houses one of the best botanical collections in the world, housing over 1.7 million specimens, including renowned collections of vascular plants, algae, bryophytes, fungi, and lichens."
45,umich-bhl-2015052,736,Edmond DeVine papers,Native,1,abstract,"Edmond Francis DeVine was a lawyer and an Ann Arbor, Michigan native who served as Prosecuting Attorney for Washtenaw County in the 1950s and was a World War II veteran. The collection consists of diaries, scrapbooks, photographs, and other materials related to DeVine's high school, military, and legal careers."
